,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
train,10,190,RL,50.0,7420.0,Pave,0,Lvl,3,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,3,BrkTil,2,3,1,6,851.0,1,0.0,140.0,991.0,GasA,5,Y,SBrkr,1077.0,0.0,0.0,1077.0,1,0,1,0,2,2,2,5,6,2,3,Attchd,1939.0,2,1,205.0,4,3,2,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0.0,1,2008,WD,Normal,118000.0
train,11,20,RL,70.0,11200.0,Pave,0,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965.0,1965.0,Hip,CompShg,HdBoard,HdBoard,None,0.0,1,3,CBlock,2,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,Y,SBrkr,1040.0,0.0,0.0,1040.0,1,0,1,0,3,1,2,5,6,0,0,Attchd,1965.0,1,1,384.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2,2008,WD,Normal,129500.0
train,12,60,RL,85.0,11924.0,Pave,1,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005.0,2006.0,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,3,3,PConc,4,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,5,Y,SBrkr,1182.0,1142.0,0.0,2324.0,1,0,3,0,4,1,4,11,6,2,4,BuiltIn,2005.0,3,3,736.0,3,3,2,147.0,21.0,0.0,0.0,0.0,0.0,0,0,0.0,7,2006,New,Partial,345000.0
train,13,20,RL,84.0,12968.0,Pave,2,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962.0,1962.0,Hip,CompShg,HdBoard,Plywood,None,0.0,1,3,CBlock,2,3,1,5,737.0,1,0.0,175.0,912.0,GasA,3,Y,SBrkr,912.0,0.0,0.0,912.0,1,0,1,0,2,1,2,4,6,0,0,Attchd,1962.0,1,1,352.0,3,3,2,140.0,0.0,0.0,0.0,176.0,0.0,0,0,0.0,9,2008,WD,Normal,144000.0
train,14,20,RL,91.0,10652.0,Pave,1,Lvl,3,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,2,3,PConc,3,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,5,Y,SBrkr,1494.0,0.0,0.0,1494.0,0,0,2,0,3,1,3,7,6,1,4,Attchd,2006.0,2,3,840.0,3,3,2,160.0,33.0,0.0,0.0,0.0,0.0,0,0,0.0,8,2007,New,Partial,279500.0
train,15,20,RL,88.0,10920.0,Pave,1,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1960.0,1960.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,1,3,CBlock,2,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,3,Y,SBrkr,1253.0,0.0,0.0,1253.0,1,0,1,1,2,1,2,5,6,1,2,Attchd,1960.0,2,1,352.0,3,3,2,0.0,213.0,176.0,0.0,0.0,0.0,0,3,0.0,5,2008,WD,Normal,157000.0
train,16,45,RM,51.0,6120.0,Pave,0,Lvl,3,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929.0,2001.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,3,BrkTil,2,3,1,1,0.0,1,0.0,832.0,832.0,GasA,5,Y,FuseA,854.0,0.0,0.0,854.0,0,0,1,0,2,1,2,5,6,0,0,Detchd,1991.0,1,2,576.0,3,3,2,48.0,112.0,0.0,0.0,0.0,0.0,0,4,0.0,7,2007,WD,Normal,132000.0
train,17,20,RL,50.0,11241.0,Pave,1,Lvl,3,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,6,7,1970.0,1970.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,1,3,CBlock,2,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,Y,SBrkr,1004.0,0.0,0.0,1004.0,1,0,1,0,2,1,2,5,6,1,3,Attchd,1970.0,3,2,480.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,700.0,3,2010,WD,Normal,149000.0
train,18,90,RL,72.0,10791.0,Pave,0,Lvl,3,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967.0,1967.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,Y,SBrkr,1296.0,0.0,0.0,1296.0,0,0,2,0,2,2,2,6,6,0,0,CarPort,1967.0,1,2,516.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500.0,10,2006,WD,Normal,90000.0
train,19,20,RL,66.0,13695.0,Pave,0,Lvl,3,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004.0,2004.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,3,PConc,2,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,5,Y,SBrkr,1114.0,0.0,0.0,1114.0,1,0,1,1,3,1,3,6,6,0,0,Attchd,2004.0,1,2,576.0,3,3,2,0.0,102.0,0.0,0.0,0.0,0.0,0,0,0.0,6,2008,WD,Normal,159000.0
train,20,20,RL,70.0,7560.0,Pave,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1958.0,1965.0,Hip,CompShg,BrkFace,Plywood,None,0.0,1,3,CBlock,2,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,3,Y,SBrkr,1339.0,0.0,0.0,1339.0,0,0,1,0,3,1,2,6,5,0,0,Attchd,1958.0,1,1,294.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,5,2009,COD,Abnorml,139000.0
train,21,60,RL,101.0,14215.0,Pave,1,Lvl,3,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,2,3,PConc,4,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,5,Y,SBrkr,1158.0,1218.0,0.0,2376.0,0,0,3,1,4,1,3,9,6,1,4,BuiltIn,2005.0,2,3,853.0,3,3,2,240.0,154.0,0.0,0.0,0.0,0.0,0,0,0.0,11,2006,New,Partial,325300.0
train,22,45,RM,57.0,7449.0,Pave,0,Bnk,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,3,PConc,2,3,1,1,0.0,1,0.0,637.0,637.0,GasA,5,Y,FuseF,1108.0,0.0,0.0,1108.0,0,0,1,0,3,1,3,6,6,1,4,Detchd,1930.0,1,1,280.0,3,3,0,0.0,0.0,205.0,0.0,0.0,0.0,0,4,0.0,6,2007,WD,Normal,139400.0
train,23,20,RL,75.0,9742.0,Pave,0,Lvl,3,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002.0,2002.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,2,3,PConc,3,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,5,Y,SBrkr,1795.0,0.0,0.0,1795.0,0,0,2,0,3,1,3,7,6,1,4,Attchd,2002.0,2,2,534.0,3,3,2,171.0,159.0,0.0,0.0,0.0,0.0,0,0,0.0,9,2008,WD,Normal,230000.0
train,24,120,RM,44.0,4224.0,Pave,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976.0,1976.0,Gable,CompShg,CemntBd,CmentBd,None,0.0,1,3,PConc,3,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,3,Y,SBrkr,1060.0,0.0,0.0,1060.0,1,0,1,0,3,1,2,6,6,1,3,Attchd,1976.0,1,2,572.0,3,3,2,100.0,110.0,0.0,0.0,0.0,0.0,0,0,0.0,6,2007,WD,Normal,129900.0
train,25,20,RL,61.0,8246.0,Pave,1,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968.0,2001.0,Gable,CompShg,Plywood,Plywood,None,0.0,1,4,CBlock,2,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,5,Y,SBrkr,1060.0,0.0,0.0,1060.0,1,0,1,0,3,1,3,6,6,1,3,Attchd,1968.0,1,1,270.0,3,3,2,406.0,90.0,0.0,0.0,0.0,0.0,0,1,0.0,5,2010,WD,Normal,154000.0
train,26,20,RL,110.0,14230.0,Pave,0,Lvl,3,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,2,3,PConc,3,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,5,Y,SBrkr,1600.0,0.0,0.0,1600.0,0,0,2,0,3,1,3,7,6,1,4,Attchd,2007.0,2,3,890.0,3,3,2,0.0,56.0,0.0,0.0,0.0,0.0,0,0,0.0,7,2009,WD,Normal,256300.0
train,27,20,RL,60.0,7200.0,Pave,0,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1951.0,2000.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,3,CBlock,2,3,2,4,234.0,3,486.0,180.0,900.0,GasA,3,Y,SBrkr,900.0,0.0,0.0,900.0,0,1,1,0,3,1,3,5,6,0,0,Detchd,2005.0,1,2,576.0,3,3,2,222.0,32.0,0.0,0.0,0.0,0.0,0,0,0.0,5,2010,WD,Normal,134800.0
train,28,20,RL,98.0,11478.0,Pave,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,2,3,PConc,4,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,Y,SBrkr,1704.0,0.0,0.0,1704.0,1,0,2,0,3,1,3,7,6,1,4,Attchd,2008.0,2,3,772.0,3,3,2,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0.0,5,2010,WD,Normal,306000.0
train,29,20,RL,47.0,16321.0,Pave,1,Lvl,3,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1957.0,1997.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,3,CBlock,2,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,3,Y,SBrkr,1600.0,0.0,0.0,1600.0,1,0,1,0,2,1,2,6,6,2,4,Attchd,1957.0,2,1,319.0,3,3,2,288.0,258.0,0.0,0.0,0.0,0.0,0,0,0.0,12,2006,WD,Normal,207500.0
train,30,30,RM,60.0,6324.0,Pave,1,Lvl,3,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,3,BrkTil,2,3,1,1,0.0,1,0.0,520.0,520.0,GasA,2,N,SBrkr,520.0,0.0,0.0,520.0,0,0,1,0,1,1,1,4,6,0,0,Detchd,1920.0,1,1,240.0,2,3,2,49.0,0.0,87.0,0.0,0.0,0.0,0,0,0.0,5,2008,WD,Normal,68500.0
train,31,70,C (all),50.0,8500.0,Pave,0,Lvl,3,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920.0,1950.0,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,1,2,BrkTil,2,3,1,1,0.0,1,0.0,649.0,649.0,GasA,3,N,SBrkr,649.0,668.0,0.0,1317.0,0,0,1,0,3,1,2,6,6,0,0,Detchd,1920.0,1,1,250.0,3,2,0,0.0,54.0,172.0,0.0,0.0,0.0,0,1,0.0,7,2008,WD,Normal,40000.0
train,32,20,RL,44.0,8544.0,Pave,1,Lvl,3,CulDSac,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966.0,2006.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,1,3,CBlock,2,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,4,Y,SBrkr,1228.0,0.0,0.0,1228.0,0,0,1,1,3,1,3,6,6,0,0,Attchd,1966.0,1,1,271.0,3,3,2,0.0,65.0,0.0,0.0,0.0,0.0,0,1,0.0,6,2008,WD,Normal,149350.0
train,33,20,RL,85.0,11049.0,Pave,0,Lvl,3,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,4,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,5,Y,SBrkr,1234.0,0.0,0.0,1234.0,0,0,2,0,3,1,3,7,6,0,0,Attchd,2007.0,2,2,484.0,3,3,2,0.0,30.0,0.0,0.0,0.0,0.0,0,0,0.0,1,2008,WD,Normal,179900.0
train,34,20,RL,70.0,10552.0,Pave,1,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959.0,1959.0,Hip,CompShg,BrkFace,BrkFace,None,0.0,1,3,CBlock,2,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,4,Y,SBrkr,1700.0,0.0,0.0,1700.0,0,1,1,1,4,1,3,6,6,1,4,Attchd,1959.0,2,2,447.0,3,3,2,0.0,38.0,0.0,0.0,0.0,0.0,0,0,0.0,4,2010,WD,Normal,165500.0
train,35,120,RL,60.0,7313.0,Pave,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005.0,2005.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,3,3,PConc,4,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,5,Y,SBrkr,1561.0,0.0,0.0,1561.0,1,0,2,0,2,1,4,6,6,1,4,Attchd,2005.0,3,2,556.0,3,3,2,203.0,47.0,0.0,0.0,0.0,0.0,0,0,0.0,8,2007,WD,Normal,277500.0
train,36,60,RL,108.0,13418.0,Pave,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,2,3,PConc,4,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,5,Y,SBrkr,1132.0,1320.0,0.0,2452.0,0,0,3,1,4,1,3,9,6,1,4,BuiltIn,2004.0,3,3,691.0,3,3,2,113.0,32.0,0.0,0.0,0.0,0.0,0,0,0.0,9,2006,WD,Normal,309000.0
train,37,20,RL,112.0,10859.0,Pave,0,Lvl,3,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994.0,1995.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,3,PConc,3,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,5,Y,SBrkr,1097.0,0.0,0.0,1097.0,0,0,1,1,3,1,2,6,6,0,0,Attchd,1995.0,1,2,672.0,3,3,2,392.0,64.0,0.0,0.0,0.0,0.0,0,0,0.0,6,2009,WD,Normal,145000.0
train,38,20,RL,74.0,8532.0,Pave,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1954.0,1990.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,1,3,CBlock,2,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,4,Y,SBrkr,1297.0,0.0,0.0,1297.0,0,1,1,0,3,1,2,5,6,1,3,Attchd,1954.0,3,2,498.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10,2009,WD,Normal,153000.0
train,39,20,RL,68.0,7922.0,Pave,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1953.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,4,CBlock,2,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,SBrkr,1057.0,0.0,0.0,1057.0,1,0,1,0,3,1,3,5,6,0,0,Attchd,1953.0,1,1,246.0,3,3,2,0.0,52.0,0.0,0.0,0.0,0.0,0,0,0.0,1,2010,WD,Abnorml,109000.0
train,40,90,RL,65.0,6040.0,Pave,0,Lvl,3,Inside,0,Edwards,Norm,Norm,Duplex,1Story,4,5,1955.0,1955.0,Gable,CompShg,AsbShng,Plywood,None,0.0,1,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,N,FuseP,1152.0,0.0,0.0,1152.0,0,0,2,0,2,2,1,6,6,0,0,Detchd,1920.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6,2008,WD,AdjLand,82000.0
train,41,20,RL,84.0,8658.0,Pave,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1965.0,1965.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,1,3,CBlock,2,3,1,3,643.0,1,0.0,445.0,1088.0,GasA,5,Y,SBrkr,1324.0,0.0,0.0,1324.0,0,0,2,0,3,1,2,6,6,1,3,Attchd,1965.0,2,2,440.0,3,3,2,0.0,138.0,0.0,0.0,0.0,0.0,0,3,0.0,12,2006,WD,Abnorml,160000.0
train,42,20,RL,115.0,16905.0,Pave,0,Lvl,3,Inside,0,Timber,Norm,Norm,1Fam,1Story,5,6,1959.0,1959.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,4,CBlock,2,3,4,4,967.0,1,0.0,383.0,1350.0,GasA,4,Y,SBrkr,1328.0,0.0,0.0,1328.0,0,1,1,1,2,1,2,5,6,2,4,Attchd,1959.0,2,1,308.0,3,3,1,0.0,104.0,0.0,0.0,0.0,0.0,0,0,0.0,7,2007,WD,Normal,170000.0
train,43,85,RL,34.0,9180.0,Pave,1,Lvl,3,CulDSac,0,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983.0,1983.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,1,3,CBlock,3,3,3,5,747.0,2,93.0,0.0,840.0,GasA,4,Y,SBrkr,884.0,0.0,0.0,884.0,1,0,1,0,2,1,3,5,6,0,0,Attchd,1983.0,2,2,504.0,3,4,2,240.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,12,2007,WD,Normal,144000.0
train,44,20,RL,43.0,9200.0,Pave,1,Lvl,3,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975.0,1980.0,Hip,CompShg,VinylSd,VinylSd,None,0.0,1,3,CBlock,3,3,3,2,280.0,4,491.0,167.0,938.0,GasA,3,Y,SBrkr,938.0,0.0,0.0,938.0,1,0,1,0,3,1,2,5,6,0,0,Attchd,1977.0,1,1,308.0,3,3,2,145.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,7,2008,WD,Normal,130250.0
train,45,20,RL,70.0,7945.0,Pave,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1959.0,1959.0,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,1,3,CBlock,2,3,1,5,179.0,4,506.0,465.0,1150.0,GasA,5,Y,FuseA,1150.0,0.0,0.0,1150.0,1,0,1,0,3,1,2,6,6,0,0,Attchd,1959.0,2,1,300.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5,2006,WD,Normal,141000.0
train,46,120,RL,61.0,7658.0,Pave,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005.0,2005.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,3,3,PConc,4,3,1,6,456.0,1,0.0,1296.0,1752.0,GasA,5,Y,SBrkr,1752.0,0.0,0.0,1752.0,1,0,2,0,2,1,4,6,6,1,4,Attchd,2005.0,2,2,576.0,3,3,2,196.0,82.0,0.0,0.0,0.0,0.0,0,0,0.0,2,2010,WD,Normal,319900.0
train,47,50,RL,48.0,12822.0,Pave,1,Lvl,3,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,4,3,1,6,1351.0,1,0.0,83.0,1434.0,GasA,5,Y,SBrkr,1518.0,631.0,0.0,2149.0,1,0,1,1,1,1,3,6,6,1,5,Attchd,2003.0,2,2,670.0,3,3,2,168.0,43.0,0.0,0.0,198.0,0.0,0,0,0.0,8,2009,WD,Abnorml,239686.0
