split,Id,MSSubClass,MSZoning,Neighborhood,LandContour,LotConfig,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,SaleType,SaleCondition,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,GarageCond,LotShape,Fence,LandSlope,PavedDrive,PoolQC,MoSold,YrSold,YearBuilt,YearRemodAdd,GarageYrBlt,GrLivArea,GarageArea,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
train,13,20,RL,Sawyer,Lvl,Inside,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,6,1,3,2,3,1,5,1,3,1,0,1,0,2,4,1,2,6,0,0,1,1,3,3,2,0,0,2,0,9,2008,1962,1962,1962,912.0,352.0,69.0,12968.0,0.0,737.0,0.0,175.0,912.0,912.0,0.0,0.0,140.0,0.0,0.0,0.0,176.0,0.0,144000.0
train,14,20,RL,CollgCr,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,New,Partial,7,5,2,3,3,3,3,1,1,5,0,0,2,0,3,7,1,3,6,1,4,2,3,3,3,1,0,0,2,0,8,2007,2006,2007,2006,1494.0,840.0,91.0,10652.0,306.0,0.0,0.0,1494.0,1494.0,1494.0,0.0,0.0,160.0,33.0,0.0,0.0,0.0,0.0,279500.0
train,15,20,RL,NAmes,Lvl,Corner,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,6,5,1,3,2,3,1,4,1,3,1,0,1,1,2,5,1,2,6,1,2,2,1,3,3,1,3,0,2,0,5,2008,1960,1960,1960,1253.0,352.0,62.0,10920.0,212.0,733.0,0.0,520.0,1253.0,1253.0,0.0,0.0,0.0,213.0,176.0,0.0,0.0,0.0,157000.0
train,16,45,RM,BrkSide,Lvl,Corner,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,FuseA,Detchd,WD,Normal,7,8,1,3,2,3,1,1,1,5,0,0,1,0,2,5,1,2,6,0,0,1,2,3,3,0,4,0,2,0,7,2007,1929,2001,1991,854.0,576.0,51.0,6120.0,0.0,0.0,0.0,832.0,832.0,854.0,0.0,0.0,48.0,112.0,0.0,0.0,0.0,0.0,132000.0
train,17,20,RL,NAmes,Lvl,CulDSac,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,6,7,1,3,2,3,1,5,1,5,1,0,1,0,2,5,1,2,6,1,3,3,2,3,3,1,0,0,2,0,3,2010,1970,1970,1970,1004.0,480.0,63.0,11241.0,180.0,578.0,0.0,426.0,1004.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149000.0
train,18,90,RL,Sawyer,Lvl,Inside,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,Slab,GasA,Y,SBrkr,CarPort,WD,Normal,4,5,1,3,0,0,0,0,0,3,0,0,2,0,2,6,2,2,6,0,0,1,2,3,3,0,0,0,2,0,10,2006,1967,1967,1967,1296.0,516.0,72.0,10791.0,0.0,0.0,0.0,0.0,0.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0
train,19,20,RL,SawyerW,Lvl,Inside,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Detchd,WD,Normal,5,5,1,3,2,3,1,6,1,5,1,0,1,1,3,6,1,3,6,0,0,1,2,3,3,0,0,0,2,0,6,2008,2004,2004,2004,1114.0,576.0,66.0,13695.0,0.0,646.0,0.0,468.0,1114.0,1114.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,159000.0
train,20,20,RL,NAmes,Lvl,Inside,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,COD,Abnorml,5,6,1,3,2,3,1,2,1,3,0,0,1,0,3,6,1,2,5,0,0,1,1,3,3,0,1,0,2,0,5,2009,1958,1965,1958,1339.0,294.0,70.0,7560.0,0.0,504.0,0.0,525.0,1029.0,1339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139000.0
train,21,60,RL,NridgHt,Lvl,Corner,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,BuiltIn,New,Partial,8,5,2,3,4,3,3,1,1,5,0,0,3,1,4,9,1,3,6,1,4,2,3,3,3,1,0,0,2,0,11,2006,2005,2006,2005,2376.0,853.0,101.0,14215.0,380.0,0.0,0.0,1158.0,1158.0,1158.0,1218.0,0.0,240.0,154.0,0.0,0.0,0.0,0.0,325300.0
train,22,45,RM,IDOTRR,Bnk,Inside,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,FuseF,Detchd,WD,Normal,7,7,1,3,2,3,1,1,1,5,0,0,1,0,3,6,1,3,6,1,4,1,1,3,3,0,4,0,0,0,6,2007,1930,1950,1930,1108.0,280.0,57.0,7449.0,0.0,0.0,0.0,637.0,637.0,1108.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,139400.0
train,23,20,RL,CollgCr,Lvl,Inside,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,3,3,1,1,1,5,0,0,2,0,3,7,1,3,6,1,4,2,2,3,3,0,0,0,2,0,9,2008,2002,2002,2002,1795.0,534.0,75.0,9742.0,281.0,0.0,0.0,1777.0,1777.0,1795.0,0.0,0.0,171.0,159.0,0.0,0.0,0.0,0.0,230000.0
train,24,120,RM,MeadowV,Lvl,Inside,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,5,7,1,3,3,3,1,6,1,3,1,0,1,0,3,6,1,2,6,1,3,1,2,3,3,0,0,0,2,0,6,2007,1976,1976,1976,1060.0,572.0,44.0,4224.0,0.0,840.0,0.0,200.0,1040.0,1060.0,0.0,0.0,100.0,110.0,0.0,0.0,0.0,0.0,129900.0
train,25,20,RL,Sawyer,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,8,1,4,2,3,2,3,5,5,1,0,1,0,3,6,1,3,6,1,3,1,1,3,3,1,1,0,2,0,5,2010,1968,2001,1968,1060.0,270.0,60.0,8246.0,0.0,188.0,668.0,204.0,1060.0,1060.0,0.0,0.0,406.0,90.0,0.0,0.0,0.0,0.0,154000.0
train,26,20,RL,NridgHt,Lvl,Corner,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,3,3,1,1,1,5,0,0,2,0,3,7,1,3,6,1,4,2,3,3,3,0,0,0,2,0,7,2009,2007,2007,2007,1600.0,890.0,110.0,14230.0,640.0,0.0,0.0,1566.0,1566.0,1600.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,256300.0
train,27,20,RL,NAmes,Lvl,Corner,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Detchd,WD,Normal,5,7,1,3,2,3,2,4,3,3,0,1,1,0,3,5,1,3,6,0,0,1,2,3,3,0,0,0,2,0,5,2010,1951,2000,2005,900.0,576.0,60.0,7200.0,0.0,234.0,486.0,180.0,900.0,900.0,0.0,0.0,222.0,32.0,0.0,0.0,0.0,0.0,134800.0
train,28,20,RL,NridgHt,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,4,3,1,6,1,5,1,0,2,0,3,7,1,3,6,1,4,2,3,3,3,0,0,0,2,0,5,2010,2007,2008,2008,1704.0,772.0,98.0,11478.0,200.0,1218.0,0.0,486.0,1704.0,1704.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,306000.0
train,29,20,RL,NAmes,Lvl,CulDSac,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,6,1,3,2,3,4,4,1,3,1,0,1,0,2,6,1,2,6,2,4,2,1,3,3,1,0,0,2,0,12,2006,1957,1997,1957,1600.0,319.0,47.0,16321.0,0.0,1277.0,0.0,207.0,1484.0,1600.0,0.0,0.0,288.0,258.0,0.0,0.0,0.0,0.0,207500.0
train,30,30,RM,BrkSide,Lvl,Inside,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,SBrkr,Detchd,WD,Normal,4,6,1,3,2,3,1,1,1,2,0,0,1,0,1,4,1,1,6,0,0,1,1,2,3,1,0,0,2,0,5,2008,1927,1950,1920,520.0,240.0,60.0,6324.0,0.0,0.0,0.0,520.0,520.0,520.0,0.0,0.0,49.0,0.0,87.0,0.0,0.0,0.0,68500.0
train,31,70,C (all),IDOTRR,Lvl,Inside,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,BrkTil,GasA,N,SBrkr,Detchd,WD,Normal,4,4,1,2,2,3,1,1,1,3,0,0,1,0,3,6,1,2,6,0,0,1,1,3,2,0,1,0,0,0,7,2008,1920,1950,1920,1317.0,250.0,50.0,8500.0,0.0,0.0,0.0,649.0,649.0,649.0,668.0,0.0,0.0,54.0,172.0,0.0,0.0,0.0,40000.0
train,32,20,RL,Sawyer,Lvl,CulDSac,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,6,1,3,2,3,1,1,1,4,0,0,1,1,3,6,1,3,6,0,0,1,1,3,3,1,1,0,2,0,6,2008,1966,2006,1966,1228.0,271.0,52.0,8544.0,0.0,0.0,0.0,1228.0,1228.0,1228.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,149350.0
train,33,20,RL,CollgCr,Lvl,Corner,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,4,3,3,1,1,5,0,0,2,0,3,7,1,3,6,0,0,2,2,3,3,0,0,0,2,0,1,2008,2007,2007,2007,1234.0,484.0,85.0,11049.0,0.0,0.0,0.0,1234.0,1234.0,1234.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,179900.0
train,34,20,RL,NAmes,Lvl,Inside,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,5,1,3,2,3,1,3,1,4,0,1,1,1,4,6,1,3,6,1,4,2,2,3,3,1,0,0,2,0,4,2010,1959,1959,1959,1700.0,447.0,70.0,10552.0,0.0,1018.0,0.0,380.0,1398.0,1700.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,165500.0
train,35,120,RL,NridgHt,Lvl,Inside,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,9,5,3,3,4,3,1,6,1,5,1,0,2,0,2,6,1,4,6,1,4,3,2,3,3,0,0,0,2,0,8,2007,2005,2005,2005,1561.0,556.0,60.0,7313.0,246.0,1153.0,0.0,408.0,1561.0,1561.0,0.0,0.0,203.0,47.0,0.0,0.0,0.0,0.0,277500.0
train,36,60,RL,NridgHt,Lvl,Inside,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,BuiltIn,WD,Normal,8,5,2,3,4,3,3,1,1,5,0,0,3,1,4,9,1,3,6,1,4,3,3,3,3,0,0,0,2,0,9,2006,2004,2005,2004,2452.0,691.0,108.0,13418.0,132.0,0.0,0.0,1117.0,1117.0,1132.0,1320.0,0.0,113.0,32.0,0.0,0.0,0.0,0.0,309000.0
train,37,20,RL,CollgCr,Lvl,Corner,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,5,5,1,3,3,3,1,1,1,5,0,0,1,1,3,6,1,2,6,0,0,1,2,3,3,0,0,0,2,0,6,2009,1994,1995,1995,1097.0,672.0,112.0,10859.0,0.0,0.0,0.0,1097.0,1097.0,1097.0,0.0,0.0,392.0,64.0,0.0,0.0,0.0,0.0,145000.0
train,38,20,RL,NAmes,Lvl,Inside,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,6,1,3,2,3,1,3,1,4,0,1,1,0,3,5,1,2,6,1,3,3,2,3,3,0,0,0,2,0,10,2009,1954,1990,1954,1297.0,498.0,74.0,8532.0,650.0,1213.0,0.0,84.0,1297.0,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153000.0
train,39,20,RL,NAmes,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Abnorml,5,7,1,4,2,3,1,6,1,3,1,0,1,0,3,5,1,3,6,0,0,1,1,3,3,0,0,0,2,0,1,2010,1953,2007,1953,1057.0,246.0,68.0,7922.0,0.0,731.0,0.0,326.0,1057.0,1057.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,109000.0
train,40,90,RL,Edwards,Lvl,Inside,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,PConc,GasA,N,FuseP,Detchd,WD,AdjLand,4,5,1,3,0,0,0,0,0,3,0,0,2,0,2,6,2,1,6,0,0,0,0,0,0,0,0,0,0,0,6,2008,1955,1955,1915,1152.0,0.0,65.0,6040.0,0.0,0.0,0.0,0.0,0.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000.0
train,41,20,RL,NAmes,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,WD,Abnorml,6,5,1,3,2,3,1,3,1,5,0,0,2,0,3,6,1,2,6,1,3,2,2,3,3,0,3,0,2,0,12,2006,1965,1965,1965,1324.0,440.0,84.0,8658.0,101.0,643.0,0.0,445.0,1088.0,1324.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,160000.0
train,42,20,RL,Timber,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,6,1,4,2,3,4,4,1,4,0,1,1,1,2,5,1,2,6,2,4,2,1,3,3,0,0,0,1,0,7,2007,1959,1959,1959,1328.0,308.0,115.0,16905.0,0.0,967.0,0.0,383.0,1350.0,1328.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,170000.0
train,43,85,RL,SawyerW,Lvl,CulDSac,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,7,1,3,3,3,3,5,2,4,1,0,1,0,2,5,1,3,6,0,0,2,2,3,4,1,1,0,2,0,12,2007,1983,1983,1983,884.0,504.0,48.0,9180.0,0.0,747.0,93.0,0.0,840.0,884.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,144000.0
train,44,20,RL,CollgCr,Lvl,CulDSac,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,WD,Normal,5,6,1,3,3,3,3,2,4,3,1,0,1,0,3,5,1,2,6,0,0,1,1,3,3,1,1,0,2,0,7,2008,1975,1980,1977,938.0,308.0,34.0,9200.0,0.0,280.0,491.0,167.0,938.0,938.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,130250.0
train,45,20,RL,NAmes,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,CBlock,GasA,Y,FuseA,Attchd,WD,Normal,5,6,1,3,2,3,1,5,4,5,1,0,1,0,3,6,1,2,6,0,0,2,1,3,3,0,0,0,2,0,5,2006,1959,1959,1959,1150.0,300.0,70.0,7945.0,0.0,179.0,506.0,465.0,1150.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141000.0
train,46,120,RL,NridgHt,Lvl,Inside,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,9,5,3,3,4,3,1,6,1,5,1,0,2,0,2,6,1,4,6,1,4,2,2,3,3,0,0,0,2,0,2,2010,2005,2005,2005,1752.0,576.0,61.0,7658.0,412.0,456.0,0.0,1296.0,1752.0,1752.0,0.0,0.0,196.0,82.0,0.0,0.0,0.0,0.0,319900.0
train,47,50,RL,Mitchel,Lvl,CulDSac,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,WD,Abnorml,7,5,2,3,4,3,1,6,1,5,1,0,1,1,1,6,1,3,6,1,5,2,2,3,3,1,0,0,2,0,8,2009,2003,2003,2003,2149.0,670.0,48.0,12822.0,0.0,1351.0,0.0,83.0,1434.0,1518.0,631.0,0.0,168.0,43.0,0.0,0.0,198.0,0.0,239686.0
train,48,20,FV,Somerst,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,3,3,3,6,1,5,0,0,2,0,3,7,1,3,6,0,0,2,3,3,3,0,0,0,2,0,7,2007,2006,2006,2006,1656.0,826.0,84.0,11096.0,0.0,24.0,0.0,1632.0,1656.0,1656.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,249700.0
train,49,190,RM,OldTown,Lvl,Inside,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Detchd,New,Partial,4,5,1,3,2,3,1,1,1,4,0,0,2,0,2,8,3,2,6,0,0,0,0,0,0,0,0,0,0,0,6,2009,1920,2008,1930,1452.0,0.0,33.0,4456.0,0.0,0.0,0.0,736.0,736.0,736.0,716.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,113000.0
train,50,20,RL,Sawyer,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Detchd,WD,Normal,5,7,1,3,2,3,1,4,1,5,1,0,1,0,3,6,1,2,6,0,0,1,1,3,3,0,1,0,2,0,1,2007,1966,1966,1966,955.0,386.0,66.0,7742.0,0.0,763.0,0.0,192.0,955.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127000.0
train,51,60,RL,Gilbert,Lvl,Corner,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,6,6,1,3,3,3,3,6,1,4,0,1,2,0,3,6,1,2,6,0,0,3,2,3,3,2,0,0,2,0,7,2007,1997,1997,1997,1470.0,388.0,95.0,13869.0,0.0,182.0,0.0,612.0,794.0,794.0,676.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,177000.0
